x y displacement_x displacement_y
785 985 1.8828 0.146738
785 995 1.49582 0.0229378
785 1005 1.88434 0.191417
785 1015 1.9311 0.595794
785 1025 2.47923 1.26823
785 1035 2.80993 0.798821
785 1045 3.06192 0.674637
785 1055 3.08425 0.650747
785 1065 3.08287 0.613389
785 1075 3.01788 0.713078
785 1085 2.88085 0.654241
785 1095 3.00732 0.331642
785 1105 3.11296 0.303105
785 1115 3.21751 0.492184
785 1125 3.27141 0.76068
785 1135 3.39035 0.929428
785 1145 3.51768 1.03239
785 1155 3.6265 1.26711
785 1165 3.67927 1.44677
785 1175 3.71015 1.5756
785 1185 3.72138 1.57464
785 1195 3.74753 1.62126
785 1205 3.69093 1.70734
785 1215 3.54046 1.69729
785 1225 3.45027 1.71163
785 1235 3.31104 1.63324
785 1245 3.15626 1.61806
785 1255 3.00755 1.74251
785 1265 2.87975 1.7244
785 1275 2.88718 1.67797
785 1285 2.7159 1.81619
785 1295 2.2828 1.69872
785 1305 2.19175 1.40127
785 1315 2.12541 1.82249
785 1325 1.98237 2.07721
785 1335 2.05528 2.16226
785 1345 2.1652 2.04904
785 1355 2.13427 2.02286
785 1365 1.98286 2.18262
795 555 -8.5691 -8.34497
795 565 -8.21003 -6.42709
795 575 -7.73922 -5.45954
795 585 -7.60271 -5.40433
795 595 -7.23823 -5.35949
795 605 -7.10562 -4.78365
795 615 -6.94612 -4.4213
795 625 -6.65137 -4.32075
795 635 -6.80075 -4.14766
795 645 -6.55367 -3.93092
795 655 -5.97995 -3.74214
795 665 -5.61351 -3.44161
795 675 -5.01621 -3.18152
795 685 -4.1442 -3.28108
795 695 -4.51558 -3.55059
795 705 -3.90933 -3.43959
795 715 -3.29831 -2.94191
795 725 -2.88946 -2.13245
795 735 -2.40533 -1.81569
795 745 -1.97901 -1.59639
795 755 -1.79662 -1.31811
795 765 -1.38503 -1.23685
795 775 -0.645014 -1.10059
795 785 -0.125887 -1.12164
795 795 -0.149503 -1.34852
795 805 -0.0513487 -1.16472
795 815 0.0571374 -0.860186
795 825 0.0751265 -0.698763
795 835 0.284276 -0.526065
795 845 0.534212 -0.474221
795 855 0.310477 -0.564459
795 865 0.439529 -0.45747
795 875 0.626042 -0.373424
795 885 0.898824 -0.32295
795 895 1.03182 -0.265812
795 905 1.39484 -0.28213
795 915 1.61061 -0.147576
795 925 1.67155 0.00434884
795 935 1.75623 0.00331479
795 945 1.85157 0.055865
795 955 1.75134 0.142271
795 965 1.65541 -0.0301869
795 975 1.9461 -0.0389074
795 985 2.20452 0.0415445
795 995 2.04949 0.0859482
795 1005 1.81735 0.167319
795 1015 1.98705083333333 0.625330071428571
795 1025 2.25517833333333 1.01256282857143
795 1035 2.51702 0.7968
795 1045 2.86306 0.722503
795 1055 3.12061 0.884868
795 1065 3.26069 0.821392
795 1075 3.17041 0.833087
795 1085 3.02082 0.809383
795 1095 3.04776 0.67434
795 1105 3.05892 0.588727
795 1115 3.15811 0.685302
795 1125 3.29019 0.817782
795 1135 3.43912 0.889384
795 1145 3.55658 1.10925
795 1155 3.56797 1.40204
795 1165 3.64143 1.52486
795 1175 3.74266 1.64224
795 1185 3.73463 1.6152
795 1195 3.77536 1.6104
795 1205 3.76355 1.66737
795 1215 3.62983 1.69035
795 1225 3.45316 1.74758
795 1235 3.26643 1.72769
795 1245 3.17762 1.74115
795 1255 3.12345 1.85431
795 1265 2.97375 1.85309
795 1275 2.94485 1.80487
795 1285 2.77728 1.95941
795 1295 2.44114 1.89946
795 1305 2.38745 1.68021
795 1315 2.36152 1.95038
795 1325 2.22131 2.23691
795 1335 1.95387 2.3174
795 1345 1.78728 2.08056
795 1355 1.84236 1.93628
795 1365 1.98146 2.19685
805 555 -8.47172 -8.4283
805 565 -8.54812 -6.78031
805 575 -8.1721 -5.61882
805 585 -7.76192 -5.25281
805 595 -7.5995 -5.03597
805 605 -7.56118 -4.62269
805 615 -7.41645 -4.44761
805 625 -7.20065 -4.34457
805 635 -6.96352 -4.2055
805 645 -6.53153 -3.93021
805 655 -5.90462 -3.65113
805 665 -5.58138 -3.4207
805 675 -5.3721 -3.09209
805 685 -5.07554 -2.85282
805 695 -4.98476 -3.22574
805 705 -4.39809 -3.14964
805 715 -3.64183 -2.69661
805 725 -2.98248 -2.17529
805 735 -2.39718 -2.20642
805 745 -2.08269 -2.04339
805 755 -1.94268 -1.5012
805 765 -1.16572 -1.12329
805 775 -0.421507 -1.10244
805 785 -0.255 -1.1494
805 795 -0.416973 -1.34692
805 805 -0.122622 -1.20914
805 815 0.209727 -0.952835
805 825 0.173809 -0.769889
805 835 0.455018 -0.593725
805 845 0.369538 -0.510997
805 855 -0.0610441 -0.284164
805 865 0.527878 -0.163365
805 875 0.869738 -0.31615
805 885 0.885085 -0.524553
805 895 0.707647 -0.368574
805 905 1.41871 -0.339128
805 915 1.7622 -0.105643
805 925 1.79178 0.0674834
805 935 1.86487 0.0857829
805 945 1.90228 0.13791
805 955 1.75005 0.234826
805 965 1.83166 0.04581
805 975 2.15863 0.0361511
805 985 2.36304 0.187804
805 995 2.3347 0.216586
805 1005 2.13836 0.076577
805 1015 2.22356 0.570676
805 1025 2.20088 0.811772
805 1035 2.40601 0.618708
805 1045 2.73213 0.716993
805 1055 3.04207 1.08685
805 1065 3.07213 1.10118
805 1075 2.98637 0.835148
805 1085 3.08023 0.815122
805 1095 3.21113 0.862824
805 1105 3.1437 0.853541
805 1115 3.18502 0.840431
