x(mm) y(mm) z(mm) displacement_x displacement_y displacement_z
-980 -980 0 -0.0150056874438728 -0.00607584344376069 -0.0322330388862529
-980 -940 0 -0.0149135030199721 -0.00608830946979879 -0.0320418082135835
-980 -900 0 -0.0148249681139411 -0.00610422069327716 -0.0318536609513658
-980 -860 0 -0.014740510355869 -0.00612376232236546 -0.0316689201410595
-980 -820 0 -0.0146605945032482 -0.00614711700537501 -0.0314879312180696
-980 -780 0 -0.0145857236731146 -0.0061744616463769 -0.031311062431722
-980 -740 0 -0.0145164400169398 -0.00620596361448931 -0.0311387049788066
-980 -700 0 -0.0144533246526394 -0.00624177631722723 -0.0309712727763255
-980 -660 0 -0.01439699664237 -0.00628203413293767 -0.0308092017914006
-980 -620 0 -0.0143481107838606 -0.00632684673202334 -0.0306529488405722
-980 -580 0 -0.0143073539709623 -0.00637629286246953 -0.0305029897681812
-980 -540 0 -0.0142754398809692 -0.00643041373235734 -0.0303598169156062
-980 -500 0 -0.0142531017678707 -0.00648920618942898 -0.0302239358014322
-980 -460 0 -0.0142410831880787 -0.00655261597230704 -0.0300958609487659
-980 -420 0 -0.0142401265636904 -0.00662053138419103 -0.0299761108213065
-980 -380 0 -0.014250959601512 -0.00669277780960899 -0.0298652018653655
-980 -340 0 -0.0142742797339524 -0.00676911354739901 -0.0297636417008964
-980 -300 0 -0.0143107369255959 -0.00684922745607482 -0.0296719215596428
-980 -260 0 -0.014360915385531 -0.00693273888840518 -0.0295905081301096
-980 -220 0 -0.0144253149222605 -0.00701920031981792 -0.0295198350329115
-980 -180 0 -0.0145043328510512 -0.00710810294447643 -0.0294602942102538
-980 -140 0 -0.0145982474850685 -0.00719888532569948 -0.0294122275628313
-980 -100 0 -0.0147072042843261 -0.00729094495575209 -0.0293759191989071
-980 -59.9999999999999 0 -0.0148312056790929 -0.00738365232605942 -0.0293515886671855
-980 -20 0 -0.0149701054172833 -0.00747636686294867 -0.0293393855227807
-980 20 0 0.0151236080147656 0.00756845388028919 0.0293393855227807
-980 59.9999999999999 0 0.015291273537055 0.00765930157067234 0.0293515886671855
-980 100 0 0.0154725275491871 0.00774833702380631 0.0293759191989071
-980 140 0 0.0156666756853809 0.00783504033300538 0.0294122275628313
-980 180 0 0.0158729219595721 0.00791895601970299 0.0294602942102538
-980 220 0 0.0160903897017082 0.00799970124810691 0.0295198350329115
-980 260 0 0.0163181438869235 0.00807697058317229 0.0295905081301096
-980 300 0 0.0165552136304069 0.00815053732709583 0.0296719215596428
-980 340 0 0.0168006137367094 0.0082202517181895 0.0297636417008964
-980 380 0 0.0170533643913621 0.00828603646612372 0.0298652018653655
-980 420 0 0.0173125083306808 0.00834788021611723 0.0299761108213065
-980 460 0 0.017577125087716 0.00840582958083757 0.0300958609487659
-980 500 0 0.0178463421587543 0.00845998036154792 0.0302239358014322
-980 540 0 0.0181193431442847 0.00851046851461179 0.0303598169156062
-980 580 0 0.0183953730790812 0.00855746132346378 0.0305029897681812
-980 620 0 0.0186737412748436 0.00860114912639095 0.0306529488405722
-980 660 0 0.018953822059135 0.00864173784082321 0.0308092017914006
-980 700 0 0.0192350538138642 0.00867944242523941 0.0309712727763255
-980 740 0 0.0195169367049175 0.0087144813361785 0.0311387049788066
-980 780 0 0.0197990294615734 0.00874707197266061 0.031311062431722
-980 820 0 0.0200809455187959 0.0087774270534179 0.0314879312180696
-980 860 0 0.0203623487845242 0.00880575184185798 0.0316689201410595
-980 900 0 0.0206429492429175 0.00883224211687384 0.0318536609513658
-980 940 0 0.0209224985567117 0.00885708278143214 0.0320418082135835
-980 980 0 0.0212007857894618 0.0088804470023954 0.0322330388862529
-940 -980 0 -0.0147937752708856 -0.00594122316656613 -0.0317665227051187
-940 -940 0 -0.0146962585938239 -0.00595055486521921 -0.0315683687607779
-940 -900 0 -0.0146022096745779 -0.00596335692096286 -0.031373176558508
-940 -860 0 -0.0145120645440967 -0.00597983480956024 -0.0311812809832628
-940 -820 0 -0.0144263003865724 -0.00600019395540535 -0.030993042122145
-940 -780 0 -0.0143454374784474 -0.00602463652410309 -0.0308088460211988
-940 -740 0 -0.0142700406093251 -0.00605335750483259 -0.0306291051577534
-940 -700 0 -0.01420071977344 -0.00608654002457126 -0.0304542585409672
-940 -660 0 -0.0141381298831234 -0.00612434985970268 -0.0302847713415019
-940 -620 0 -0.0140829692214852 -0.00616692914645906 -0.030121133941148
-940 -580 0 -0.0140359763251638 -0.00621438934223571 -0.0299638602862234
-940 -540 0 -0.01399792497587 -0.00626680355642914 -0.029813485426573
-940 -500 0 -0.01396961698942 -0.00632419845195689 -0.0296705621272006
-940 -460 0 -0.0139518725318108 -0.00638654601452335 -0.0295356564543861
-940 -420 0 -0.0139455177723808 -0.00645375559028507 -0.029409342264894
-940 -380 0 -0.0139513698113095 -0.0065256666942014 -0.0292921945674413
-940 -340 0 -0.0139702189958831 -0.00660204317726379 -0.029184781780871
-940 -300 0 -0.014002808963944 -0.00668256939371398 -0.0290876569828192
-940 -260 0 -0.0140498150117827 -0.00676684901034936 -0.0290013483233097
-940 -220 0 -0.0141118216550886 -0.00685440703160096 -0.0289263488643837
-940 -180 0 -0.0141893005029714 -0.00694469546452405 -0.0288631061917464
-940 -140 0 -0.0142825897567111 -0.00703710281584258 -0.0288120122175743
-940 -100 0 -0.014391876735484 -0.00713096731168548 -0.0287733936441749
-940 -59.9999999999999 0 -0.0145171847862429 -0.00722559338840976 -0.0287475035759173
-940 -20 0 -0.0146583657353949 -0.00732027066241845 -0.028734514744193
-940 20 0 0.0148150986904735 0.0074142942981786 0.028734514744193
-940 59.9999999999999 0 0.0149868955318601 0.00750698550476163 0.0287475035759173
-940 100 0 0.0151731129028569 0.00759771083752861 0.0287733936441749
-940 140 0 0.015372969980957 0.00768589907693795 0.0288120122175743
-940 180 0 0.01558557086518 0.00777105468908889 0.0288631061917464
-940 220 0 0.0158099301020254 0.00785276720715869 0.0289263488643837
-940 260 0 0.0160449997298222 0.00793071625814027 0.0290013483233097
-940 300 0 0.0162896962525314 0.00800467233940137 0.0290876569828192
-940 340 0 0.0165429261364334 0.00807449377541999 0.029184781780871
-940 380 0 0.0168036087139181 0.00814012052261176 0.0292921945674413
-940 420 0 0.0170706957261342 0.00820156562445126 0.029409342264894
-940 460 0 0.0173431870905127 0.00825890515317237 0.0295356564543861
-940 500 0 0.0176201427997588 0.00831226742494143 0.0296705621272006
-940 540 0 0.0179006911192475 0.00836182216685624 0.029813485426573
-940 580 0 0.0181840334376792 0.00840777017246936 0.0299638602862234
-940 620 0 0.0184694462413309 0.00845033383100263 0.030121133941148
-940 660 0 0.0187562807338167 0.00848974877182926 0.0302847713415019
-940 700 0 0.0190439606242076 0.00852625674169945 0.0304542585409672
-940 740 0 0.0193319785713013 0.00856009973331923 0.0306291051577534
-940 780 0 0.0196198917145286 0.00859151531140767 0.0308088460211988
-940 820 0 0.0199073166538773 0.00862073303426214 0.030993042122145
-940 860 0 0.020193924170959 0.00864797184138662 0.0311812809832628
-940 900 0 0.0204794339168181 0.00867343826642422 0.031373176558508
-940 940 0 0.0207636092328059 0.00869732533508424 0.0315683687607779
-940 980 0 0.0210462522204829 0.00871981201607651 0.0317665227051187
-900 -980 0 -0.0145828982636309 -0.00580712680520847 -0.0312973592873597
-900 -940 0 -0.0144799057013109 -0.00581310982660459 -0.0310919716092445
-900 -900 0 -0.0143801730744063 -0.00582257098324085 -0.0308893997447381
-900 -860 0 -0.0142841422534878 -0.00583573642679575 -0.0306899894456692
-900 -820 0 -0.01419230036621 -0.00585283523001955 -0.0304941146815316
-900 -780 0 -0.014105182562746 -0.00587409624497454 -0.0303021788081745
-900 -740 0 -0.0140233743349071 -0.0058997441457079 -0.0301146154663677
-900 -700 0 -0.013947513154172 -0.00592999456182136 -0.0299318891094702
-900 -660 0 -0.0138782891427112 -0.00596504822919641 -0.0297544950425591
-900 -620 0 -0.0138164444403131 -0.00600508411883512 -0.0295829588393803
-900 -580 0 -0.0137627708843048 -0.00605025155806001 -0.0294178349901353
-900 -540 0 -0.0137181055868509 -0.00610066143328559 -0.0292597046248112
-900 -500 0 -0.013683323984585 -0.00615637666185352 -0.0291091721564258
-900 -460 0 -0.0136593299616982 -0.00621740224093767 -0.0289668606996694
-900 -420 0 -0.0136470427227826 -0.00628367531907797 -0.0288334061465765
-900 -380 0 -0.0136473802284435 -0.00635505587980385 -0.0287094498254007
-900 -340 0 -0.0136612392136571 -0.0064313187599739 -0.0285956297340988
-900 -300 0 -0.0136894720869953 -0.00651214782457677 -0.0284925704261625
-900 -260 0 -0.0137328613471781 -0.00659713315714919 -0.0284008717314879
-900 -220 0 -0.0137920925256126 -0.00668577207273086 -0.0283210966123839
-900 -180 0 -0.013867727026835 -0.00677747459640691 -0.0282537585744569
-900 -140 0 -0.0139601765366036 -0.00687157376649906 -0.0281993091600848
-900 -100 0 -0.0140696808373342 -0.00696734072941136 -0.0281581261323848
-900 -59.9999999999999 0 -0.0141962908564977 -0.0070640041295886 -0.028130502994046
-900 -20 0 -0.014339858540539 -0.00716077282249704 -0.0281166404655928
-900 20 0 0.0145000346942274 0.00725686052483032 0.0281166404655928
